"phenotype","taxon","Nsamples","levels","levels_SampleSize","effect.size","R2","F.stat","Pvalue","FDR"
"MED.DISEASES.Blood.Anemia","CALVIN.PWY..Calvin.Benson.Bassham.cycle",2000,"Not Applicable","1979:21",0.01543,0.000126220587965622,0.25217472542752,0.615603351355889,0.992998956060438
"MED.DISEASES.Blood.Anemia","CENTFERM.PWY..pyruvate.fermentation.to.butanoate",2000,"Not Applicable","1979:21",-0.0094,1.78115008727796e-06,0.00355538183851117,0.952458667670826,0.998350336353194
"MED.DISEASES.Blood.Anemia","COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.",2000,"Not Applicable","1979:21",0.00125,4.33919911062761e-05,0.0866728477126485,0.768480965047913,0.995398146482195
"MED.DISEASES.Blood.Anemia","COA.PWY..coenzyme.A.biosynthesis.I",2000,"Not Applicable","1979:21",-0.05331,7.59889545321277e-05,0.152150510026322,0.696530307246242,0.995398146482195
"MED.DISEASES.Blood.Anemia","COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I",2000,"Not Applicable","1979:21",0.00077,1.84130432211009e-05,0.0367708131198404,0.847951934453327,0.995398146482195
"MED.DISEASES.Blood.Anemia","COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis",2000,"Not Applicable","1979:21",-0.0652,0.000141810285324923,0.283556296983887,0.594439012478419,0.992610376487751
"MED.DISEASES.Blood.Anemia","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",2000,"Not Applicable","1979:21",0.00318,9.1091180760255e-05,0.182005343409394,0.669701544605197,0.995398146482195
"MED.DISEASES.Blood.Anemia","DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I",2000,"Not Applicable","1979:21",0.0018,9.91769522222933e-05,0.19813083181901,0.656282124242754,0.993845799998007
"MED.DISEASES.Blood.Anemia","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",2000,"Not Applicable","1979:21",0.00985,0.000515475390627492,1.03301418950095,0.309575013404999,0.945052240053038
"MED.DISEASES.Blood.Anemia","ENTBACSYN.PWY..enterobactin.biosynthesis",2000,"Not Applicable","1979:21",0.00129,4.47469660394162e-05,0.0893720102655053,0.765008174689956,0.995398146482195
"MED.DISEASES.Blood.Anemia","FAO.PWY..fatty.acid..beta..oxidation.I",2000,"Not Applicable","1979:21",0.01546,5.35950434154282e-05,0.106969181832595,0.743655731908847,0.995398146482195
"MED.DISEASES.Blood.Anemia","FASYN.ELONG.PWY..fatty.acid.elongation....saturated",2000,"Not Applicable","1979:21",-0.12553,0.00177157746856918,3.54861814869123,0.0597403804683371,0.812994114950802
"MED.DISEASES.Blood.Anemia","FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.",2000,"Not Applicable","1979:21",0.00058,9.87189652504415e-06,0.0197231345864601,0.888327261539033,0.995398146482195
"MED.DISEASES.Blood.Anemia","FERMENTATION.PWY..mixed.acid.fermentation",2000,"Not Applicable","1979:21",0.00213,0.00012567494041747,0.250877863673344,0.616512878959459,0.992998956060438
"MED.DISEASES.Blood.Anemia","FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage",2000,"Not Applicable","1979:21",0.07197,0.000501200213338883,1.00184225568358,0.316986531135017,0.946451260580225
"MED.DISEASES.Blood.Anemia","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",2000,"Not Applicable","1979:21",0.00084,1.79270913140237e-05,0.0357920185555519,0.849964884109763,0.995398146482195
"MED.DISEASES.Blood.Anemia","FUCCAT.PWY..fucose.degradation",2000,"Not Applicable","1979:21",-0.00099,2.24371914270358e-06,0.00449257199952335,0.946567202422157,0.998350336353194
"MED.DISEASES.Blood.Anemia","GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation",2000,"Not Applicable","1979:21",-0.01861,0.000147837580788468,0.295059117289484,0.587057304324684,0.992610376487751
"MED.DISEASES.Blood.Anemia","GALACTARDEG.PWY..D.galactarate.degradation.I",2000,"Not Applicable","1979:21",0.06073,0.000493120828397089,0.985858362536128,0.320877147875406,0.946451970660861
"MED.DISEASES.Blood.Anemia","GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation",2000,"Not Applicable","1979:21",-0.00019,9.60724460383547e-07,0.00191903389527889,0.965062807297372,0.998350336353194
"MED.DISEASES.Blood.Anemia","GLUCARDEG.PWY..D.glucarate.degradation.I",2000,"Not Applicable","1979:21",0.30336,0.00186415515893637,3.72687722567019,0.0536849796504618,0.812994114950802
"MED.DISEASES.Blood.Anemia","GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation",2000,"Not Applicable","1979:21",-0.00261,3.84712978896123e-06,0.00769466501619896,0.930108631137132,0.997652756753721
"MED.DISEASES.Blood.Anemia","GLUCONEO.PWY..gluconeogenesis.I",2000,"Not Applicable","1979:21",0.05188,5.54966664794352e-05,0.110813993251923,0.739254289489231,0.995398146482195
"MED.DISEASES.Blood.Anemia","GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation",2000,"Not Applicable","1979:21",-0.06017,0.000113263551488824,0.22652594006064,0.634163956145583,0.992998956060438
"MED.DISEASES.Blood.Anemia","GLUTORN.PWY..L.ornithine.biosynthesis",2000,"Not Applicable","1979:21",3e-04,1.23405994487038e-07,0.000246845474799407,0.987466269631057,0.998464314402123
"MED.DISEASES.Blood.Anemia","GLYCOCAT.PWY..glycogen.degradation.I..bacterial.",2000,"Not Applicable","1979:21",-0.00015,6.09470587313197e-07,0.00121749121864238,0.972168898486123,0.998350336353194
"MED.DISEASES.Blood.Anemia","GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.",2000,"Not Applicable","1979:21",0.00062,8.63186063882848e-06,0.0172318625225824,0.895574809329379,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY_GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.Entner.Doudoroff",2000,"Not Applicable","1979:21",0.02854,2.27732967129917e-05,0.0454474780617676,0.831205119420597,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY_GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass",2000,"Not Applicable","1979:21",-0.00476,3.854012110055e-06,0.0076934737872196,0.930114027501469,0.997652756753721
"MED.DISEASES.Blood.Anemia","PWY_GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.",2000,"Not Applicable","1979:21",0.00084,2.17924219717775e-05,0.0435276816109327,0.834756133483477,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY_GLYOXYLATE.BYPASS..glyoxylate.cycle",2000,"Not Applicable","1979:21",0.01098,4.08842730545379e-06,0.00818071734900966,0.927940835972226,0.997140063588672
"MED.DISEASES.Blood.Anemia","HEMESYN2.PWY..heme.biosynthesis.II..anaerobic.",2000,"Not Applicable","1979:21",0.08619,0.000853459095780306,1.708765796766,0.191296219979255,0.898904632382613
"MED.DISEASES.Blood.Anemia","HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.",2000,"Not Applicable","1979:21",-0.00125,1.34333897168675e-05,0.02686547247502,0.869821036688395,0.995398146482195
"MED.DISEASES.Blood.Anemia","HISDEG.PWY..L.histidine.degradation.I",2000,"Not Applicable","1979:21",0.00188,0.00010797120255236,0.215705861229496,0.642382176775714,0.992998956060438
"MED.DISEASES.Blood.Anemia","HISTSYN.PWY..L.histidine.biosynthesis",2000,"Not Applicable","1979:21",-0.00087,3.83373508819579e-06,0.00765608196719975,0.930283630011338,0.997652756753721
"MED.DISEASES.Blood.Anemia","HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I",2000,"Not Applicable","1979:21",0.00127,4.31884364821458e-05,0.0862617201514415,0.769015063740603,0.995398146482195
"MED.DISEASES.Blood.Anemia","HSERMETANA.PWY..L.methionine.biosynthesis.III",2000,"Not Applicable","1979:21",0.02152,0.000104485180171263,0.208551342256069,0.647954939398678,0.993226151842215
"MED.DISEASES.Blood.Anemia","ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.",2000,"Not Applicable","1979:21",0.22283,0.00106749523318205,2.1362628886295,0.144009436628483,0.880997750379543
"MED.DISEASES.Blood.Anemia","KDO.NAGLIPASYN.PWY..superpathway.of..Kdo.2.lipid.A.biosynthesis",2000,"Not Applicable","1979:21",0.02169,9.39102954968451e-06,0.0187420315545693,0.891122435617656,0.995398146482195
"MED.DISEASES.Blood.Anemia","LACTOSECAT.PWY..lactose.and.galactose.degradation.I",2000,"Not Applicable","1979:21",-0.05002,0.000187851268372398,0.375124351786343,0.540294024055092,0.987963381880965
"MED.DISEASES.Blood.Anemia","LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis",2000,"Not Applicable","1979:21",-0.01278,1.38454233173195e-05,0.0276281540153644,0.868002875614872,0.995398146482195
"MED.DISEASES.Blood.Anemia","METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation",2000,"Not Applicable","1979:21",9e-05,2.17547645419195e-07,0.000434343847951006,0.983374641376412,0.998350336353194
"MED.DISEASES.Blood.Anemia","METSYN.PWY..L.homoserine.and.L.methionine.biosynthesis",2000,"Not Applicable","1979:21",0.0833,0.000147842936473475,0.295343746372184,0.586877024910391,0.992610376487751
"MED.DISEASES.Blood.Anemia","PWY_NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II",2000,"Not Applicable","1979:21",0.00311,0.000263491939893525,0.52596713679567,0.468392367658944,0.976571812434723
"MED.DISEASES.Blood.Anemia","NAGLIPASYN.PWY..lipid.IVA.biosynthesis",2000,"Not Applicable","1979:21",-0.00134,1.75863731652435e-07,0.000351759794310526,0.98503821999886,0.998350336353194
"MED.DISEASES.Blood.Anemia","NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I",2000,"Not Applicable","1979:21",-0.00649,2.15512326938966e-05,0.0430025892391548,0.835741561406724,0.995398146482195
"MED.DISEASES.Blood.Anemia","ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation",2000,"Not Applicable","1979:21",0.00188,9.04191730378139e-05,0.180717118370608,0.670803530121273,0.995398146482195
"MED.DISEASES.Blood.Anemia","ORNDEG.PWY..superpathway.of.ornithine.degradation",2000,"Not Applicable","1979:21",-0.03187,2.67449491206733e-05,0.0534318208285198,0.817219458069242,0.995398146482195
"MED.DISEASES.Blood.Anemia","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",2000,"Not Applicable","1979:21",-0.01805,0.00180296558138425,3.60478712453473,0.0577576137562793,0.812994114950802
"MED.DISEASES.Blood.Anemia","P108.PWY..pyruvate.fermentation.to.propanoate.I",2000,"Not Applicable","1979:21",-0.00114,1.65343081133182e-06,0.00330246376757453,0.954178894595006,0.998350336353194
"MED.DISEASES.Blood.Anemia","P122.PWY..heterolactic.fermentation",2000,"Not Applicable","1979:21",-0.21709,0.000971900802965963,1.94275883479789,0.163524529872651,0.884140110682297
"MED.DISEASES.Blood.Anemia","P124.PWY..Bifidobacterium.shunt",2000,"Not Applicable","1979:21",-0.08295,0.000149220331258878,0.298113791981114,0.58512837508318,0.992610376487751
"MED.DISEASES.Blood.Anemia","P161.PWY..acetylene.degradation",2000,"Not Applicable","1979:21",-0.0112,0.000303377976275996,0.60590588625992,0.436425802870933,0.975178292764882
"MED.DISEASES.Blood.Anemia","P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate.",2000,"Not Applicable","1979:21",0.11588,0.00546145833425285,10.9853765876933,0.000934775161027607,0.590135243846241
"MED.DISEASES.Blood.Anemia","P164.PWY..purine.nucleobases.degradation.I..anaerobic.",2000,"Not Applicable","1979:21",0.02907,0.000102203176688571,0.204063126774487,0.651510109027893,0.993609361981742
"MED.DISEASES.Blood.Anemia","P23.PWY..reductive.TCA.cycle.I",2000,"Not Applicable","1979:21",0.00096,2.58398184956482e-05,0.051692404786244,0.820167399274718,0.995398146482195
"MED.DISEASES.Blood.Anemia","P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I",2000,"Not Applicable","1979:21",-0.18241,0.000677096818826013,1.35190288130495,0.245084789995047,0.923317562265154
"MED.DISEASES.Blood.Anemia","P42.PWY..incomplete.reductive.TCA.cycle",2000,"Not Applicable","1979:21",-0.00853,3.62574808527119e-05,0.0724204578977425,0.78787248306411,0.995398146482195
"MED.DISEASES.Blood.Anemia","P441.PWY..superpathway.of.N.acetylneuraminate.degradation",2000,"Not Applicable","1979:21",0.00667,8.99431257282875e-07,0.00179611390700484,0.96619954708006,0.998350336353194
"MED.DISEASES.Blood.Anemia","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",2000,"Not Applicable","1979:21",-0.17794,0.000992254669492167,1.98215141193096,0.15931974237567,0.884140110682297
"MED.DISEASES.Blood.Anemia","PENTOSE.P.PWY..pentose.phosphate.pathway",2000,"Not Applicable","1979:21",0.05336,0.000415874226813146,0.830495496380124,0.362239389306553,0.955097904303183
"MED.DISEASES.Blood.Anemia","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.",2000,"Not Applicable","1979:21",0.0064,1.63990492235439e-06,0.00327547022502944,0.954366338851462,0.998350336353194
"MED.DISEASES.Blood.Anemia","PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.",2000,"Not Applicable","1979:21",-0.0237,1.35087864455031e-05,0.0269556964321628,0.869604580675063,0.995398146482195
"MED.DISEASES.Blood.Anemia","POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II",2000,"Not Applicable","1979:21",0.08443,0.000912927218176342,1.82634540940535,0.176713037138067,0.893325203255515
"MED.DISEASES.Blood.Anemia","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I",2000,"Not Applicable","1979:21",0.08126,0.00012845763791806,0.256323954757141,0.612712912590042,0.992998956060438
"MED.DISEASES.Blood.Anemia","POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.",2000,"Not Applicable","1979:21",-0.00857,6.86940290785529e-05,0.137196257451346,0.711123696529298,0.995398146482195
"MED.DISEASES.Blood.Anemia","PPGPPMET.PWY..ppGpp.biosynthesis",2000,"Not Applicable","1979:21",-0.0538,0.000631789660401533,1.26285653660959,0.261246282371917,0.925182513867973
"MED.DISEASES.Blood.Anemia","PWY.101..photosynthesis.light.reactions",2000,"Not Applicable","1979:21",-0.00253,0.000178383631111815,0.356427723723081,0.550564657329096,0.989384394329574
"MED.DISEASES.Blood.Anemia","PWY.1042..glycolysis.IV..plant.cytosol.",2000,"Not Applicable","1979:21",0.00048,5.37501166391697e-06,0.0107378421185007,0.917478505778594,0.995745529279587
"MED.DISEASES.Blood.Anemia","PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.",2000,"Not Applicable","1979:21",-0.00374,3.98068095124786e-07,0.000795121020021666,0.977507140140174,0.998350336353194
"MED.DISEASES.Blood.Anemia","PWY.2723..trehalose.degradation.V",2000,"Not Applicable","1979:21",0.00141,6.07756999457953e-05,0.121373402026842,0.727586430706183,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.2941..L.lysine.biosynthesis.II",2000,"Not Applicable","1979:21",-0.00016,7.87156260968172e-07,0.00157170319429775,0.968380347131073,0.998350336353194
"MED.DISEASES.Blood.Anemia","PWY.2942..L.lysine.biosynthesis.III",2000,"Not Applicable","1979:21",-0.00121,4.26923721415533e-05,0.0852579217326099,0.770324941430065,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I",2000,"Not Applicable","1979:21",0.00063,1.19932279458103e-05,0.0239606657355718,0.877000695420742,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.3781..aerobic.respiration.I..cytochrome.c.",2000,"Not Applicable","1979:21",0.00063,1.21792963635339e-05,0.0243297990184134,0.87606446939413,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.3841..folate.transformations.II",2000,"Not Applicable","1979:21",0.24756,0.00203700109011593,4.07678357761386,0.0436098606454726,0.812987125597806
"MED.DISEASES.Blood.Anemia","PWY.4981..L.proline.biosynthesis.II..from.arginine.",2000,"Not Applicable","1979:21",0.10375,0.000307061455896146,0.615628881073031,0.43276943046039,0.975178292764882
"MED.DISEASES.Blood.Anemia","PWY.4984..urea.cycle",2000,"Not Applicable","1979:21",-0.03305,0.000126842766589458,0.253279639677886,0.614830749926399,0.992998956060438
"MED.DISEASES.Blood.Anemia","PWY.5004..superpathway.of.L.citrulline.metabolism",2000,"Not Applicable","1979:21",0.08318,0.000560501175372636,1.11910682683279,0.290238931796209,0.941617036660142
"MED.DISEASES.Blood.Anemia","PWY.5022..4.aminobutanoate.degradation.V",2000,"Not Applicable","1979:21",-0.04698,5.58031597406182e-05,0.11150333211688,0.73847415749267,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5030..L.histidine.degradation.III",2000,"Not Applicable","1979:21",0.22647,0.00135036048731721,2.70695297525493,0.100069194107075,0.859642353222335
"MED.DISEASES.Blood.Anemia","PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation",2000,"Not Applicable","1979:21",0.00753,0.000281613878595159,0.562015269807611,0.453537789498708,0.975456349786456
"MED.DISEASES.Blood.Anemia","PWY.5088..L.glutamate.degradation.VIII..to.propanoate.",2000,"Not Applicable","1979:21",0.0726,0.000128652919162217,0.25698977917658,0.61225182615389,0.992998956060438
"MED.DISEASES.Blood.Anemia","PWY.5097..L.lysine.biosynthesis.VI",2000,"Not Applicable","1979:21",-0.00856,0.000409764054737523,0.820214197749077,0.36522690864365,0.958222598495977
"MED.DISEASES.Blood.Anemia","PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II",2000,"Not Applicable","1979:21",-0.01268,0.00138815346780931,2.77538328315931,0.0958807312035401,0.855002353761864
"MED.DISEASES.Blood.Anemia","PWY.5101..L.isoleucine.biosynthesis.II",2000,"Not Applicable","1979:21",0.00261,6.60715970916706e-07,0.00131857797343849,0.971037031916929,0.998350336353194
"MED.DISEASES.Blood.Anemia","PWY.5103..L.isoleucine.biosynthesis.III",2000,"Not Applicable","1979:21",-0.04241,0.00018613664053033,0.371715775510561,0.542139936554527,0.988925852829915
"MED.DISEASES.Blood.Anemia","PWY.5104..L.isoleucine.biosynthesis.IV",2000,"Not Applicable","1979:21",0.00137,1.06223887594639e-05,0.0212434782443319,0.884132346995694,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.",2000,"Not Applicable","1979:21",0.0038,0.000421733051800652,0.842388429853386,0.358825514287875,0.953563935759491
"MED.DISEASES.Blood.Anemia","PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.",2000,"Not Applicable","1979:21",-0.00035,3.49172971551479e-06,0.00697088600396901,0.933468848261332,0.997652756753721
"MED.DISEASES.Blood.Anemia","PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation",2000,"Not Applicable","1979:21",0.0028,0.000199322712009992,0.398072970062745,0.52815840897798,0.987083442574142
"MED.DISEASES.Blood.Anemia","PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.",2000,"Not Applicable","1979:21",0.01257,0.000129483744008736,0.258409098829615,0.611271441604244,0.992998956060438
"MED.DISEASES.Blood.Anemia","PWY.5173..superpathway.of.acetyl.CoA.biosynthesis",2000,"Not Applicable","1979:21",0.00099,3.04525887090997e-05,0.0608146777000156,0.805238283470448,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5177..glutaryl.CoA.degradation",2000,"Not Applicable","1979:21",0.00302,4.48270579352134e-05,0.0895344180728696,0.764801050511412,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.",2000,"Not Applicable","1979:21",0.00103,2.57466443229675e-05,0.0514241527080756,0.820626648791738,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.",2000,"Not Applicable","1979:21",-0.00022,1.05643479309339e-06,0.00210979302637239,0.963368660657411,0.998350336353194
"MED.DISEASES.Blood.Anemia","PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.",2000,"Not Applicable","1979:21",0.00025,1.36041266077767e-08,2.72111186576322e-05,0.995838433239021,0.999907377430006
"MED.DISEASES.Blood.Anemia","PWY.5367..petroselinate.biosynthesis",2000,"Not Applicable","1979:21",0.21063,0.000955814452240182,1.90952007241405,0.167171290124126,0.888735369233578
"MED.DISEASES.Blood.Anemia","PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.",2000,"Not Applicable","1979:21",-0.08881,0.000577491674857746,1.15286075400972,0.283080944105378,0.941353395966266
"MED.DISEASES.Blood.Anemia","PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle",2000,"Not Applicable","1979:21",0.17983,0.000654782866280001,1.30937713539775,0.252644730279243,0.923317562265154
"MED.DISEASES.Blood.Anemia","PWY.5656..mannosylglycerate.biosynthesis.I",2000,"Not Applicable","1979:21",0.02286,4.40795792421757e-05,0.0881749575334569,0.766541180366028,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5667..CDP.diacylglycerol.biosynthesis.I",2000,"Not Applicable","1979:21",-0.10862,0.00114630508066524,2.29068940034837,0.130310499175521,0.876567901691498
"MED.DISEASES.Blood.Anemia","PWY.5686..UMP.biosynthesis",2000,"Not Applicable","1979:21",-0.23389,0.00193669711154651,3.87813797955788,0.0490569685202176,0.812994114950802
"MED.DISEASES.Blood.Anemia","PWY.5690..TCA.cycle.II..plants.and.fungi.",2000,"Not Applicable","1979:21",0.16475,0.000538861723880224,1.07664501199263,0.299575048537092,0.943614825861018
"MED.DISEASES.Blood.Anemia","PWY.5692..allantoin.degradation.to.glyoxylate.II",2000,"Not Applicable","1979:21",0.00572,0.000174797885340581,0.34920396895691,0.554631030649824,0.989384394329574
"MED.DISEASES.Blood.Anemia","PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation",2000,"Not Applicable","1979:21",-0.3799,0.00291677921135008,5.83884415018948,0.0157653750779543,0.765192181016692
"MED.DISEASES.Blood.Anemia","PWY.5705..allantoin.degradation.to.glyoxylate.III",2000,"Not Applicable","1979:21",-0.01414,0.000532674566801856,1.06750531476519,0.301634846427933,0.943640442462298
"MED.DISEASES.Blood.Anemia","PWY.5723..Rubisco.shunt",2000,"Not Applicable","1979:21",0.00041,5.08100156009481e-06,0.0101449621877899,0.919781106336745,0.995768626920638
"MED.DISEASES.Blood.Anemia","PWY.5747..2.methylcitrate.cycle.II",2000,"Not Applicable","1979:21",-0.09073,0.000181670390274904,0.362812423513904,0.547016874385602,0.989384394329574
"MED.DISEASES.Blood.Anemia","PWY.5791..1.4.dihydroxy.2.naphthoate.biosynthesis.II..plants.",2000,"Not Applicable","1979:21",0.00255,0.000178687574383638,0.356840978106974,0.550333723535008,0.989384394329574
"MED.DISEASES.Blood.Anemia","PWY.5837..1.4.dihydroxy.2.naphthoate.biosynthesis.I",2000,"Not Applicable","1979:21",0.01614,1.3856797461886e-05,0.0276795403814948,0.86788130800078,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",2000,"Not Applicable","1979:21",0.02833,3.38356946847655e-05,0.0676127233557459,0.794871732843536,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5840..superpathway.of.menaquinol.7.biosynthesis",2000,"Not Applicable","1979:21",-0.04946,0.000322650027730486,0.646016847734424,0.421636126658246,0.975178292764882
"MED.DISEASES.Blood.Anemia","PWY.5845..superpathway.of.menaquinol.9.biosynthesis",2000,"Not Applicable","1979:21",0.02202,0.000177924348405545,0.356372913887609,0.550595299665547,0.989384394329574
"MED.DISEASES.Blood.Anemia","PWY.5856..ubiquinol.9.biosynthesis..prokaryotic.",2000,"Not Applicable","1979:21",0.00093,2.19611858868194e-05,0.0438631009294096,0.834129903674298,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5857..ubiquinol.10.biosynthesis..prokaryotic.",2000,"Not Applicable","1979:21",0.00464,5.92024631199963e-07,0.00118218634982244,0.972575229419431,0.998350336353194
"MED.DISEASES.Blood.Anemia","PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I",2000,"Not Applicable","1979:21",0.00336,6.33511233459141e-05,0.126485906788347,0.722141363532361,0.995398146482195
"MED.DISEASES.Blood.Anemia","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis",2000,"Not Applicable","1979:21",0.1141,0.00142097700541408,2.8427649062505,0.091942517586323,0.850418632896252
