"Trait","Trait.short","N","Nz","Prev","MS.Mdl","VE_ID","CI_ID","MS.CI_ID","LogL_ID","Pv_ID","FDR_ID","SW_PV_ID","SW_FDR_ID","VE_COHOUSING.ID_DMP","CI_COHOUSING.ID_DMP","MS.CI_COHOUSING.ID_DMP","LogL_COHOUSING.ID_DMP","Pv_COHOUSING.ID_DMP","FDR_COHOUSING.ID_DMP","SW_PV_COHOUSING.ID_DMP","SW_FDR_COHOUSING.ID_DMP","VE_famID","CI_famID","MS.CI_famID","LogL_famID","Pv_famID","FDR_famID","SW_PV_famID","SW_FDR_famID","VE_Residual","CI_Residual","MS.CI_Residual","LogL_Residual","Est_Age","SE_Age","P.Chisq_Age","Est_Sex","SE_Sex","P.Chisq_Sex","Est_META.DNA.postclean.reads","SE_META.DNA.postclean.reads","P.Chisq_META.DNA.postclean.reads","Est_META.POOP.Freq","SE_META.POOP.Freq","P.Chisq_META.POOP.Freq"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum","s__Bifidobacterium_longum",3571,1144,86.06,"full.model",0.247421213,"0.11-0.38","0.11-0.38",-9900.811467,0.000928845,0.229424715,0.00021011673151751,0.0518988326848249,0.071035962,"0.01-0.13","0.01-0.13",-9897.70982,0.029111682,1,0.00482101167315175,0.539953307392996,0,"0-0.03","0-0.03",-9895.329322,1,1,1,1,0.681542825,"0.54-0.83","0.54-0.83",-9895.329322,-0.032798615,0.004001708,2.48e-16,0.490501042,0.127974538,0.000126692,0.871920818,0.439563247,0.047299647,-0.380884304,0.114549982,0.00088403
"k__Bacteria.p__Proteobacteria","p__Proteobacteria",3571,19,99.77,"full.model",0.307513348,"0.12-0.45","0.12-0.45",-6341.534922,0.001206125,0.29670675,2.33463035019455e-05,0.006,0.118679131,"0.04-0.18","0.04-0.18",-6340.585129,0.00339623,0.51962319,0.000108949416342412,0.0184124513618677,0,"0-0.06","0-0.06",-6336.294454,0.998736242,1,1,1,0.573807521,"0.42-0.76","0.42-0.76",-6336.294453,-0.005914093,0.0014926,7.42e-05,0.176414974,0.046601936,0.000153356,-0.299335249,0.162100433,0.064804607,0.160536509,0.042278217,0.000146372
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Acidaminococcaceae.g__Phascolarctobacterium","g__Phascolarctobacterium",3571,5874,28.43,"full.model",0.245006857,"0.1-0.38","0.1-0.38",-11217.20531,0.001255386,0.30756957,0.000221789883268482,0.0545603112840467,0.243946964,"0.17-0.31","0.17-0.31",-11235.6597,6.04e-12,1.4194e-09,0,0,0.03084238,"0-0.09","0-0.09",-11212.6168,0.26740838,1,0.0155175097276265,1,0.480203799,"0.35-0.62","0.35-0.62",-11212.00181,0.060978157,0.00598963,2.42e-24,1.171565588,0.1742748,1.79e-11,0.240562091,0.63028018,0.70270256,-0.092933053,0.1649242,0.573101616
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Acidaminococcaceae.g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens","s__Phascolarctobacterium_succinatutens",3571,5874,28.43,"full.model",0.244838681,"0.1-0.38","0.1-0.38",-11220.86103,0.001261179,0.307727676,0.000221789883268482,0.0545603112840467,0.243566947,"0.17-0.31","0.17-0.31",-11239.26456,6.39e-12,1.49526e-09,0,0,0.031027675,"0-0.09","0-0.09",-11216.28466,0.264363704,1,0.0151945525291829,1,0.480566697,"0.35-0.62","0.35-0.62",-11215.66178,0.06105051,0.005995579,2.37e-24,1.173240279,0.174465839,1.76e-11,0.241400018,0.630938472,0.702012892,-0.091765923,0.165095274,0.578322863
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Clostridiales_noname","g__Clostridiales_noname",3571,7645,6.85,"full.model",0.236567536,"0.11-0.36","0.11-0.36",-8142.50501,0.001289824,0.313427232,0.000307392996108949,0.0750038910505837,0.100843104,"0.04-0.16","0.04-0.16",-8141.285216,0.004896036,0.7344054,0.000416342412451362,0.0603696498054475,0,"0-0.04","0-0.04",-8137.326493,1,1,1,1,0.66258936,"0.53-0.8","0.53-0.8",-8137.326493,0.017391925,0.002460745,1.57e-12,-0.369067606,0.077607135,1.98e-06,-0.218035229,0.268648751,0.417021399,0.095202491,0.070031267,0.174010888
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_eggerthii","s__Bacteroides_eggerthii",3571,5309,35.31,"full.model",0.212797086,"0.08-0.34","0.08-0.34",-10998.58716,0.002341087,0.566543054,0.000684824902723735,0.162303501945525,0.255283219,"0.19-0.32","0.19-0.32",-11021.02991,1.86e-13,4.5012e-11,0,0,0.050120653,"0-0.11","0-0.11",-10995.73214,0.059517222,1,0.000976653696498054,0.224630350194553,0.481799041,"0.36-0.61","0.36-0.61",-10993.95675,0.031352761,0.005657924,3e-08,0.415452087,0.162361804,0.010503284,-0.159926423,0.591533935,0.786884209,-0.175672427,0.154896181,0.256739963
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_citroniae","s__Clostridium_citroniae",3571,7761,5.43,"no.family.ID",0.220584303,NA,"0.09-0.35",-6950.993678,0.003101703,0.747510423,0.000525291828793774,0.127120622568093,0.028896767,NA,"0-0.09",-6946.992397,0.388352565,1,0.100778210116732,1,2.98e-09,NA,NA,-6946.62035,1,1,0.32179766536965,1,0.750518928,NA,"0.63-0.86",-6946.62035,-0.004271911,0.001734183,0.013764298,-0.278299828,0.056663065,9.04e-07,0.069347846,0.19242263,0.718552961,0.181855963,0.050125389,0.000285602
"k__Bacteria.p__Actinobacteria.c__Actinobacteria","c__Actinobacteria",3571,13,99.84,"full.model",0.196980864,"0.08-0.31","0.08-0.31",-6005.460609,0.003238639,0.77727336,0.00126848249027237,0.291750972762646,0.147329441,"0.08-0.21","0.08-0.21",-6009.481939,4.35e-05,0.008265,1.94552529182879e-05,0.00375486381322957,0,"0-0.04","0-0.04",-6001.126658,0.999993454,1,1,1,0.655689694,"0.54-0.78","0.54-0.78",-6001.126658,-0.013046315,0.0013647,1.18e-21,0.127664252,0.042136348,0.002447245,0.188186118,0.147609004,0.202346081,-0.18567484,0.038497811,1.41e-06
"k__Bacteria.p__Actinobacteria","p__Actinobacteria",3571,13,99.84,"full.model",0.196980855,"0.08-0.31","0.08-0.31",-6005.460615,0.00323864,0.77727336,0.00126848249027237,0.291750972762646,0.147329442,"0.08-0.21","0.08-0.21",-6009.481945,4.35e-05,0.008265,1.94552529182879e-05,0.00375486381322957,0,"0-0.04","0-0.04",-6001.126665,1,1,1,1,0.655689703,"0.54-0.78","0.54-0.78",-6001.126665,-0.013046315,0.0013647,1.18e-21,0.12766425,0.042136348,0.002447245,0.188186112,0.147609004,0.202346095,-0.185674841,0.038497811,1.41e-06
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Mitsuokella.s__Mitsuokella_multacida","s__Mitsuokella_multacida",3571,7412,9.69,"full.model",0.218485358,"0.07-0.35","0.07-0.35",-8890.878021,0.003576305,0.85116059,0.000552529182879377,0.132607003891051,0.312437663,"0.26-0.36","0.26-0.36",-8930.174385,1.04e-20,2.6624e-18,0,0,0,"0-0.02","0-0.02",-8886.634362,0.999982187,1,1,1,0.469076979,"0.33-0.61","0.33-0.61",-8886.634362,0.015903154,0.003145786,4.3e-07,0.595581279,0.089699721,3.14e-11,0.035234047,0.327622302,0.914356853,-0.041156075,0.085806162,0.631483338
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae","f__Bifidobacteriaceae",3571,505,93.85,"full.model",0.214497495,"0.07-0.35","0.07-0.35",-9235.253666,0.003780514,0.895981818,0.000634241245136187,0.151583657587549,0.156879831,"0.09-0.22","0.09-0.22",-9240.593033,1.26e-05,0.0025074,1.16731517509728e-05,0.00240466926070039,0,"0-0.03","0-0.03",-9231.060496,0.99997198,1,1,1,0.628622674,"0.48-0.78","0.48-0.78",-9231.060496,-0.030662948,0.00337883,1.14e-19,0.524246958,0.103806027,4.41e-07,0.69708768,0.364556264,0.055856458,-0.34912588,0.09510323,0.000241584
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales","o__Bifidobacteriales",3571,505,93.85,"full.model",0.214497475,"0.07-0.35","0.07-0.35",-9235.253666,0.003780515,0.895981818,0.000634241245136187,0.151583657587549,0.156879826,"0.09-0.22","0.09-0.22",-9240.593033,1.26e-05,0.0025074,1.16731517509728e-05,0.00240466926070039,0,"0-0.03","0-0.03",-9231.060497,0.999971448,1,1,1,0.6286227,"0.48-0.78","0.48-0.78",-9231.060497,-0.030662948,0.00337883,1.14e-19,0.524246958,0.103806027,4.41e-07,0.697087679,0.364556264,0.055856458,-0.349125879,0.09510323,0.000241584
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis","s__Bacteroides_uniformis",3571,115,98.6,"no.family.ID",0.219857132,NA,"0.08-0.36",-7935.293382,0.004002119,0.940497965,0.000536964980544747,0.129408560311284,0.05324761,NA,"0-0.11",-7932.405614,0.113318774,1,0.0198365758754864,1,0,NA,NA,-7931.151956,0.999747778,1,1,1,0.726895258,NA,"0.61-0.84",-7931.151956,0.005890938,0.002297698,0.010352011,-0.138025318,0.07418899,0.062821101,-0.121613639,0.253594477,0.631540654,0.068944213,0.066071227,0.296724573
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Dialister.s__Dialister_invisus","s__Dialister_invisus",3571,4967,39.48,"no.family.ID",0.207980225,NA,"0.08-0.34",-11277.75748,0.004190921,0.980675514,0.000797665369649805,0.188249027237354,0.136571788,NA,"0.08-0.2",-11281.09643,0.000114749,0.021113816,3.11284046692607e-05,0.00578988326848249,1.05e-10,NA,NA,-11273.65788,0.999885639,1,0.382591439688716,1,0.655447987,NA,"0.53-0.77",-11273.65788,-0.073388392,0.005962335,8.14e-35,-0.448241103,0.184996373,0.015394097,0.278503906,0.646295668,0.666524092,-0.085455691,0.168540519,0.612131306
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium","g__Bifidobacterium",3571,513,93.75,"no.family.ID",0.20734555,NA,"0.07-0.34",-9261.802206,0.004498023,1,0.000813229571984436,0.191108949416342,0.156784981,NA,"0.09-0.22",-9267.293327,1.27e-05,0.0025074,1.16731517509728e-05,0.00240466926070039,0,NA,NA,-9257.766725,0.99998326,1,1,1,0.635869468,NA,"0.49-0.78",-9257.766725,-0.031086668,0.003403839,6.67e-20,0.53207338,0.104595068,3.64e-07,0.747823512,0.367311055,0.041756314,-0.366938066,0.095818198,0.000128391
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_bromii","s__Ruminococcus_bromii",3571,2835,65.46,"no.family.ID",0.203975071,NA,"0.08-0.33",-11065.41997,0.006742817,1,0.000945525291828794,0.221252918287938,0.018997894,NA,"0-0.08",-11061.91637,0.563881513,1,0.170852140077821,1,1.11e-10,NA,NA,-11061.74986,1,1,0.381175097276265,1,0.777027035,NA,"0.66-0.89",-11061.74986,0.010696591,0.00547291,0.050646667,-0.096301208,0.179836291,0.592308484,1.809451457,0.609024594,0.002967693,-0.726317292,0.158636532,4.68e-06
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_faecis","s__Bacteroides_faecis",3571,6586,19.75,"full.model",0.192843616,"0.05-0.33","0.05-0.33",-9834.589808,0.008420864,1,0.00148249027237354,0.338007782101167,0.258781827,"0.19-0.32","0.19-0.32",-9857.912677,2.47e-13,5.9527e-11,0,0,0.014800197,"0-0.07","0-0.07",-9831.282252,0.567670124,1,0.0938326848249027,1,0.53357436,"0.41-0.66","0.41-0.66",-9831.118953,-0.012850212,0.004076021,0.001618032,0.12766368,0.118509184,0.281369869,0.886801667,0.428576342,0.038529183,0.203013661,0.112092344,0.070120932
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Acidaminococcaceae","f__Acidaminococcaceae",3571,5307,35.34,"full.model",0.189332754,"0.05-0.33","0.05-0.33",-11368.21052,0.008936301,1,0.00170038910505837,0.385988326848249,0.239208475,"0.17-0.31","0.17-0.31",-11386.79605,3.27e-11,7.5537e-09,0,0,0.04352701,"0-0.1","0-0.1",-11365.9532,0.127648718,1,0.00262256809338521,0.579587548638132,0.527931761,"0.4-0.66","0.4-0.66",-11364.79276,0.061663327,0.006262907,7.15e-23,1.478046502,0.181598848,3.98e-16,0.018401912,0.657964562,0.977687723,-0.134197823,0.172139114,0.435632616
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales","o__Enterobacteriales",3571,2094,74.49,"full.model",0.170139674,"0.04-0.3","0.04-0.3",-10574.49078,0.012263944,1,0.00349416342412451,0.765221789883268,0.025358087,"0-0.08","0-0.08",-10571.73491,0.383153359,1,0.122848249027237,1,0,"0-0.03","0-0.03",-10571.35463,1,1,1,1,0.804502239,"0.68-0.93","0.68-0.93",-10571.35463,0.018024721,0.004770746,0.000157981,0.192224495,0.156525293,0.219419543,0.52255451,0.530920785,0.324996563,-0.335597267,0.138288006,0.01523267
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae","f__Enterobacteriaceae",3571,2094,74.49,"no.family.ID",0.170139675,NA,"0.04-0.3",-10574.49078,0.012263944,1,0.00349416342412451,0.765221789883268,0.025358086,NA,"0-0.08",-10571.73491,0.383153356,1,0.122848249027237,1,0,NA,NA,-10571.35463,1,1,1,1,0.804502239,NA,"0.67-0.93",-10571.35463,0.018024721,0.004770746,0.000157981,0.192224497,0.156525293,0.21941954,0.522554502,0.530920785,0.32499657,-0.335597268,0.138288006,0.01523267
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_massiliensis","s__Bacteroides_massiliensis",3571,4582,44.17,"full.model",0.17130314,"0.04-0.3","0.04-0.3",-11343.34786,0.01402879,1,0.00336186770428016,0.746334630350195,0.264756183,"0.2-0.33","0.2-0.33",-11370.68994,6.58e-15,1.6121e-12,0,0,0.059868297,"0.01-0.12","0.01-0.12",-11343.07746,0.019084963,1,0.000233463035019455,0.0562645914396887,0.504072381,"0.39-0.63","0.39-0.63",-11340.3306,-0.002604594,0.006255644,0.677147258,0.981006511,0.17782702,3.46e-08,0.45807858,0.650947432,0.481613044,0.048126249,0.170505603,0.777747135
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_merdae","s__Parabacteroides_merdae",3571,1928,76.51,"no.family.ID",0.170356668,NA,"0.04-0.3",-10879.85954,0.014187346,1,0.00346692607003891,0.76272373540856,0.206222752,NA,"0.15-0.26",-10895.12468,1.49e-09,3.3525e-07,0,0,1.68e-10,NA,NA,-10876.8522,1,1,0.370758754863813,1,0.623420579,NA,"0.51-0.74",-10876.8522,-0.00391114,0.005404619,0.469270647,0.950831557,0.162271114,4.64e-09,-0.013275637,0.577020705,0.981644521,-0.076756055,0.150632657,0.610361249
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_finegoldii","s__Bacteroides_finegoldii",3571,6252,23.82,"full.model",0.170443515,"0.03-0.3","0.03-0.3",-10267.14487,0.014909879,1,0.00344747081712062,0.761891050583658,0.270107351,"0.2-0.34","0.2-0.34",-10294.3082,8.34e-15,2.03496e-12,0,0,0.069517092,"0.02-0.13","0.02-0.13",-10267.61789,0.008750125,1,6.6147859922179e-05,0.0164708171206226,0.489932042,"0.37-0.61","0.37-0.61",-10264.18133,0.002913538,0.004635074,0.52962078,0.569754375,0.130857633,1.34e-05,-0.410501098,0.480736041,0.393159716,0.164107003,0.125984771,0.192713416
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_coprophilus","s__Bacteroides_coprophilus",3571,7405,9.77,"full.model",0.181794328,"0.03-0.33","0.03-0.33",-9863.958119,0.017516449,1,0.00224124513618677,0.50652140077821,0.203448829,"0.13-0.27","0.13-0.27",-9875.813564,6.03e-08,1.29645e-05,0,0,0.024848713,"0-0.07","0-0.07",-9861.676147,0.298713096,1,0.032443579766537,1,0.58990813,"0.44-0.74","0.44-0.74",-9861.136182,0.011321232,0.004078536,0.00550648,0.345839447,0.121302455,0.004357502,-0.022797639,0.433640354,0.958072379,0.036075393,0.113277633,0.750129351
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia","g__Escherichia",3571,2268,72.37,"full.model",0.160727089,"0.03-0.29","0.03-0.29",-10595.74199,0.019762975,1,0.00482879377431907,1,0.026083993,"0-0.08","0-0.08",-10593.41793,0.375739549,1,0.118237354085603,1,0,"0-0.03","0-0.03",-10593.02564,1,1,1,1,0.813188918,"0.69-0.94","0.69-0.94",-10593.02564,0.010771808,0.004798454,0.024777775,0.186441949,0.15745177,0.236365164,0.838671377,0.534145783,0.116387894,-0.330193329,0.139125947,0.017627976
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella.s__Sutterella_wadsworthensis","s__Sutterella_wadsworthensis",3571,2303,71.94,"no.family.ID",0.16807024,NA,"0.06-0.3",-11396.92756,0.020837082,1,0.00371984435797665,0.807206225680934,0.24015689,NA,"0.2-0.3",-11418.46573,3.45e-12,8.1765e-10,0,0,0.011230574,NA,NA,-11394.34685,0.67228636,1,0.128443579766537,1,0.580542296,NA,"0.45-0.68",-11394.25738,-0.046446379,0.006294588,1.6e-13,0.867921563,0.184982746,2.71e-06,0.765797671,0.665256966,0.249678498,0.530638607,0.173855197,0.002271804
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania.s__Holdemania_filiformis","s__Holdemania_filiformis",3571,5799,29.34,"full.model",0.157690964,"0.02-0.29","0.02-0.29",-9592.271677,0.022101835,1,0.0052568093385214,1,0.041840465,"0-0.1","0-0.1",-9590.592329,0.170441578,1,0.0450428015564202,1,0,"0-0.02","0-0.02",-9589.652801,0.999899986,1,1,1,0.800468571,"0.67-0.92","0.67-0.92",-9589.652801,-0.001827437,0.003636875,0.61533373,-0.462263,0.118414507,9.47e-05,1.270217472,0.403425602,0.001640662,-0.040046458,0.105084626,0.703138176
"k__Bacteria.p__Bacteroidetes","p__Bacteroidetes",3571,1,99.99,"full.model",0.203841156,"0.03-0.36","0.03-0.36",-2825.573993,0.022766034,1,0.000953307392996109,0.222120622568093,0.04032763,"0-0.09","0-0.09",-2823.924142,0.169589388,1,0.0498365758754864,1,0,"0-0.05","0-0.05",-2822.980858,1,1,1,1,0.755831213,"0.59-1.00","0.59-1.00",-2822.980858,-0.002973491,0.00054763,5.64e-08,-0.006061746,0.017806129,0.733532505,-0.211414428,0.060650875,0.00049074,0.048262627,0.015799892,0.002253476
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales","o__Bacteroidales",3571,1,99.99,"no.family.ID",0.203841051,NA,"0.05-0.36",-2825.578037,0.022768379,1,0.000953307392996109,0.222120622568093,0.040330477,NA,"0-0.09",-2823.928246,0.169596302,1,0.0498326848249027,1,1.85e-10,NA,NA,-2822.984992,1,1,0.368420233463035,1,0.755828472,NA,"0.59-0.92",-2822.984992,-0.002973522,0.000547631,5.64e-08,-0.006060648,0.017806137,0.733579042,-0.211418508,0.060650947,0.000490624,0.048263319,0.015799911,0.002253175
