"Trait","Trait.short","N","Nz","Prev","MS.Mdl","VE_ID","CI_ID","MS.CI_ID","LogL_ID","Pv_ID","FDR_ID","SW_PV_ID","SW_FDR_ID","VE_COHOUSING.ID_DMP","CI_COHOUSING.ID_DMP","MS.CI_COHOUSING.ID_DMP","LogL_COHOUSING.ID_DMP","Pv_COHOUSING.ID_DMP","FDR_COHOUSING.ID_DMP","SW_PV_COHOUSING.ID_DMP","SW_FDR_COHOUSING.ID_DMP","VE_famID","CI_famID","MS.CI_famID","LogL_famID","Pv_famID","FDR_famID","SW_PV_famID","SW_FDR_famID","VE_Residual","CI_Residual","MS.CI_Residual","LogL_Residual","Est_Age","SE_Age","P.Chisq_Age","Est_Sex","SE_Sex","P.Chisq_Sex","Est_META.DNA.postclean.reads","SE_META.DNA.postclean.reads","P.Chisq_META.DNA.postclean.reads","Est_META.POOP.Freq","SE_META.POOP.Freq","P.Chisq_META.POOP.Freq"
"PWY.5484..glycolysis.II..from.fructose.6.phosphate.","phosphate",3571,17,99.79,"no.family.ID",0.185652042518772,NA,"0.04-0.32",-5218.89832997686,0.0098294451186815,1,0.00117550432276657,0.305631123919308,0.0584924116942752,NA,"0-0.12",-5217.48508134468,0.0500718761857369,1,0.0115541786743516,1,0,NA,NA,-5215.56555620931,0.999985402984892,1,1,1,0.755855545786953,NA,"0.62-0.89",-5215.56555620914,0.000401401762261433,0.00107404563646324,0.708606113204981,0.0565724800362367,0.0346386462772783,0.102423037565713,-0.36811597658509,0.118552480256869,0.00190221918069082,0.0961715076214268,0.0308860757190628,0.00184726154811424
"RHAMCAT.PWY..L.rhamnose.degradation.I","I",3571,0,100,"full.model",0.199561750551441,"0.05-0.35","0.05-0.35",-4295.21914348496,0.0109843130787064,1,0.000627665706051873,0.16758674351585,0.0311013705212821,"0-0.1","0-0.1",-4292.40953367419,0.356939126778457,1,0.0862178674351585,1,0.0110816198751565,"0-0.06","0-0.06",-4292.13630159763,0.582525455759459,1,0.131305187319885,1,0.75825525905212,"0.62-0.9","0.62-0.9",-4291.98521679214,-0.00408484215499503,0.000826093580200432,7.62340989288922e-07,-0.0465412415996152,0.0268594188086649,0.0831362494071941,-0.358476289173873,0.0915198256446479,8.96856514336097e-05,0.0915705783140787,0.0238422173810563,0.000122688709038579
"PWY_GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.","phosphate",3571,17,99.79,"full.model",0.182728932997368,"0.04-0.32","0.04-0.32",-5244.02215626503,0.0110844266175457,1,0.00133804034582133,0.346328530259366,0.0609768138648733,"0-0.12","0-0.12",-5242.89013730344,0.0407184590518373,1,0.00934149855907781,1,0,"0-0.02","0-0.02",-5240.79629052647,1,1,1,1,0.756294253137758,"0.72-0.89","0.72-0.89",-5240.7962905275,0.000758612625593042,0.00108217049230402,0.483296607991164,0.0623451248922994,0.0348622911479025,0.0737235051144905,-0.369563960521616,0.119395558563774,0.00196620094957025,0.096517860867451,0.0311060534004428,0.00191657535486464
"PWY.621..sucrose.degradation.III..sucrose.invertase.","invertase",3571,5,99.94,"full.model",0.196446467840388,"0.05-0.34","0.05-0.34",-4756.35086092799,0.0115448139263847,1,0.000724207492795389,0.191914985590778,0.0595579581606432,"0-0.12","0-0.12",-4754.85840626843,0.0654119309110806,1,0.0105723342939481,1,0,"0-0.04","0-0.04",-4753.16112776483,0.999882818010405,1,1,1,0.743995573998969,"0.6-0.89","0.6-0.89",-4753.16112775405,-0.00699256209922063,0.000944210668991938,1.30438439832836e-13,-0.0666971417822805,0.0304218285522857,0.0283498662534336,-0.203545113723452,0.104154342396592,0.0506699677245016,-0.013995754561033,0.0271359874265307,0.606019528393166
"PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I","I",3571,0,100,"no.family.ID",0.18812773983948,NA,"0.05-0.32",-4524.48548408912,0.0120776900611676,1,0.00105792507204611,0.277176368876081,0.0624375916653543,NA,"0-0.12",-4523.08926702455,0.0611102244239974,1,0.0081864553314121,1,0,NA,NA,-4521.33576981611,0.999967950817523,1,1,1,0.749434668495166,NA,"0.62-0.88",-4521.33576981531,-0.00416336893967769,0.000885182818854873,2.55864344423462e-06,0.0526389610001408,0.0284894278551381,0.0646506053528394,-0.206687668122379,0.0976100387340408,0.0342188153736856,0.133081721725267,0.0254309559125963,1.66726462299188e-07
"PWY.7663..gondoate.biosynthesis..anaerobic.","anaerobic",3571,0,100,"full.model",0.197197917086644,"0.04-0.34","0.04-0.34",-4237.30905287915,0.0135592797840499,1,0.000698559077809798,0.185816714697406,0.0411249851511861,"0-0.11","0-0.11",-4234.93171282451,0.247041615021565,1,0.0447023054755043,1,0.0057449450595524,"0-0.06","0-0.06",-4234.29168637754,0.806648138844777,1,0.202887319884726,1,0.755932152702618,"0.62-0.9","0.62-0.9",-4234.26173450463,-0.0043532022786838,0.000813897600625616,8.86434709335706e-08,-0.0462884023953965,0.026395565501341,0.079491673925919,-0.24104161545686,0.0900579951834724,0.00743921359062902,0.0879973413747057,0.0234616399377295,0.000176348525134512
"PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II","II",3571,0,100,"no.family.ID",0.182763208836185,NA,"0.05-0.32",-4464.53983452421,0.0150070711903412,1,0.0013371757925072,0.346328530259366,0.059016187280641,NA,"0-0.12",-4463.19890833955,0.0721337827162522,1,0.0110625360230548,1,0,NA,NA,-4461.58201574941,0.999978857867108,1,1,1,0.758220603883174,NA,"0.63-0.89",-4461.58201574906,-0.00420438272275005,0.000869622470530433,1.33331962870752e-06,0.046502477827487,0.0280420563635364,0.0972545135193739,-0.202500811504828,0.0959876001748358,0.0348880016207201,0.128004613877887,0.0250072254553413,3.07640467655285e-07
"PWY.5505..L.glutamate.and.L.glutamine.biosynthesis","biosynthesis",3571,2886,64.83,"full.model",0.162771399792998,"0.03-0.29","0.03-0.29",-8329.44842950023,0.0152905714274404,1,0.00328299711815562,0.79448530259366,0.158824553223693,"0.1-0.21","0.1-0.21",-8339.33296965759,4.08923293186562e-07,0.000113271752212678,0,0,0,"0-0.03","0-0.03",-8326.50709179679,1,1,1,1,0.678404046983309,"0.56-0.8","0.56-0.8",-8326.50709185024,0.0221128651096119,0.00262168033825823,3.32294001524137e-17,0.230543157890079,0.0805663680031068,0.00421600299257468,-0.116200485307514,0.283038165932747,0.681404693518175,-0.0344379833896995,0.0738195347104371,0.640846301056446
"PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I","I",3571,0,100,"no.family.ID",0.181810504629838,NA,"0.05-0.32",-4476.34886817599,0.0164593884896877,1,0.00139423631123919,0.356924495677233,0.0540740490170185,NA,"0-0.11",-4474.84598921659,0.0974149565658538,1,0.0167406340057637,1,0,NA,NA,-4473.47230759915,1,1,1,1,0.764115446353144,NA,"0.63-0.89",-4473.47230760039,-0.00411119588123836,0.000871472790815472,2.38729452200149e-06,0.0372178675531361,0.028171467896624,0.186461617073213,-0.167653791353299,0.0963029794917484,0.0817012282302597,0.111935042673529,0.0250884346093421,8.13426616148783e-06
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.","coli",3571,72,99.12,"no.family.ID",0.170671491126297,NA,"0.04-0.3",-5218.03167779131,0.0172072176897088,1,0.00230317002881844,0.585005187319885,0.0592012269021466,NA,"0-0.12",-5216.88176488773,0.0661809878576596,1,0.0108939481268012,1,0,NA,NA,-5215.19412058903,0.999989347091817,1,1,1,0.770127281971556,NA,"0.64-0.89",-5215.19412058894,-0.00885360378165847,0.00107348163427479,1.61661847656456e-16,0.0256127685610058,0.0346305584340332,0.459542609467918,-0.0655466542162392,0.118539840159571,0.580297361807879,-0.100168116428549,0.0308816724858823,0.00118025029975615
"PWY.5973..cis.vaccenate.biosynthesis","biosynthesis",3571,0,100,"full.model",0.191260009262869,"0.03-0.33","0.03-0.33",-4226.67821709896,0.0172259141621841,1,0.000921613832853026,0.242384438040346,0.039666046345987,"0-0.1","0-0.1",-4224.46081464506,0.265778796693758,1,0.0494265129682997,1,0.00504847067875711,"0-0.06","0-0.06",-4223.86460335467,0.830208945634633,1,0.213687608069164,1,0.764025473712387,"0.63-0.91","0.63-0.91",-4223.84161247128,-0.00439474053128257,0.000810948267991017,5.98458086918574e-08,-0.0401945800336986,0.0263335112232357,0.126918703862313,-0.221720179603215,0.0897929311857769,0.0135400869792899,0.0840683019072956,0.0233919047143094,0.000325757658933689
"COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I","I",3571,7,99.91,"no.family.ID",0.191985687351951,NA,"0.05-0.33",-4554.94461227269,0.0174651623009489,1,0.000893659942363112,0.235926224783862,0.0592466329997935,NA,"0-0.12",-4553.73345778941,0.0724461938395485,1,0.0108530259365994,1,0,NA,NA,-4552.12010388968,1,1,1,1,0.748767679648255,NA,"0.6-0.9",-4552.12010389233,-0.0050440574370595,0.000892311473398778,1.57855832860846e-08,-0.0459287978957293,0.0287593324986677,0.110264591923175,-0.0994209342025396,0.0984525716071603,0.31257395155937,-0.0124237760493759,0.0256500995376764,0.628133337859422
"PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation","phosphorylation",3571,0,100,"full.model",0.187225407325465,"0.03-0.29","0.03-0.29",-4654.25447145483,0.0220999116216087,1,0.00109884726224784,0.286799135446686,0.0623495447932703,"0-0.12","0-0.12",-4653.15182931306,0.0816062648163643,1,0.00825187319884726,1,0.00174714177927948,"0-0.06","0-0.06",-4651.6377332707,0.946960277365115,1,0.26894121037464,1,0.748677906101985,"0.62-0.89","0.62-0.89",-4651.63552051821,-0.00416266664895915,0.000918333388371351,5.81933958684066e-06,0.0532138379994915,0.0295364191009729,0.0716028957638652,-0.170418537892105,0.101239707201369,0.0923137073804483,0.115505604900022,0.0263770438195316,1.19214140818498e-05
"PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.","coli",3571,0,100,"no.family.ID",0.179330160813545,NA,"0.04-0.31",-4406.6824764699,0.022819272338528,1,0.00156685878962536,0.399548991354467,0.0550894755027787,NA,"0-0.11",-4405.37056335072,0.109710643258373,1,0.0154170028818444,1,2.3775147662837e-16,NA,NA,-4404.09137112223,0.999885254575521,1,0.395336311239193,1,0.765580363683676,NA,"0.64-0.89",-4404.09137111189,-0.00417643194527638,0.000854825783984371,1.03056143427594e-06,0.0272757233739712,0.0276224474636349,0.323423189538149,-0.144004280018353,0.0944508420606051,0.127346937849746,0.085574732528481,0.0246059379174888,0.000505531523995365
"PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage","salvage",3571,0,100,"no.family.ID",0.182193570907186,NA,"0.05-0.32",-4496.31347757279,0.024355154894502,1,0.00137089337175792,0.352319596541787,0.0593377043395377,NA,"0-0.12",-4495.16495556007,0.0959191681468144,1,0.0107734870317003,1,0.00199560620138433,NA,NA,-4493.78186507847,0.93858217157503,1,0.264600288184438,1,0.756473118551892,NA,"0.63-0.88",-4493.77889657251,-0.00415487367587118,0.000877883057289173,2.2140793094086e-06,0.0480731062681023,0.0282801138234929,0.0891514613784871,-0.174865307943163,0.0968600792895675,0.0710216030686911,0.115028485289379,0.0252350947731047,5.15756367553989e-06
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II","II",3571,0,100,"no.family.ID",0.166452763486069,NA,"0.03-0.3",-4510.09046488673,0.026277202704469,1,0.00278587896253602,0.69368386167147,0.0606550736484815,NA,"0-0.12",-4509.29963519859,0.0669594726657618,1,0.00960345821325648,1,0,NA,NA,-4507.62162220407,0.999992165828387,1,1,1,0.772892162865449,NA,"0.65-0.9",-4507.62162220402,-0.00415492527943699,0.000880678987973324,2.38331614208302e-06,0.0326452759774968,0.0283955110772733,0.25028259001262,-0.190141790594316,0.0972333419579957,0.0505216696336192,0.135617539747562,0.0253309238693869,8.61102714714275e-08
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II","II",3571,0,100,"no.family.ID",0.166452763486069,NA,"0.03-0.3",-4510.09046488673,0.026277202704469,1,0.00278587896253602,0.69368386167147,0.0606550736484815,NA,"0-0.12",-4509.29963519859,0.0669594726657618,1,0.00960345821325648,1,0,NA,NA,-4507.62162220407,0.999992165828387,1,1,1,0.772892162865449,NA,"0.65-0.9",-4507.62162220402,-0.00415492527943699,0.000880678987973324,2.38331614208302e-06,0.0326452759774968,0.0283955110772733,0.25028259001262,-0.190141790594316,0.0972333419579957,0.0505216696336192,0.135617539747562,0.0253309238693869,8.61102714714275e-08
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation","degradation",3571,0,100,"no.family.ID",0.165926424863056,NA,"0.03-0.3",-4240.10907521721,0.0277272947079724,1,0.00285734870317003,0.705765129682997,0.0277608883788048,NA,"0-0.09",-4238.08120347382,0.374342019856683,1,0.105005187319885,1,4.05006235730006e-08,NA,NA,-4237.6866027513,1,1,0.305667146974063,1,0.806312646257516,NA,"0.67-0.93",-4237.68660327933,-0.00398882760802618,0.000809988602134194,8.45556484052798e-07,-0.02636342850078,0.026548806802142,0.32070144938055,-0.108181794245692,0.0901084521422404,0.229916795601616,0.0572511162792065,0.0234704271684761,0.0147162607929278
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I","I",3571,72,99.12,"full.model",0.149878076377505,"0.02-0.27","0.02-0.27",-5357.15942010958,0.0292468794016785,1,0.0056,1,0.064186129649951,"0.01-0.12","0.01-0.12",-5356.9094889451,0.0391773623361324,1,0.00702622478386167,1,0,"0-0.04","0-0.04",-5354.78290883572,0.999992240087614,1,1,1,0.785935793972544,"0.66-0.91","0.66-0.91",-5354.78290883567,-0.00825667477648945,0.00111664281497804,1.42267449628295e-13,0.0235146398490524,0.0359668769074704,0.513249700591391,-0.0958519820522046,0.123266755883685,0.436806044235653,-0.0964554422917814,0.0321123077183204,0.00266726271444093
"PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III","III",3571,5219,36.41,"full.model",0.148930044638653,"0.01-0.28","0.01-0.28",-7526.42565324929,0.030310484850178,1,0.00582593659942363,1,0.000331062679387214,"0-0.06","0-0.06",-7524.07991932618,0.990974721371064,1,0.367004034582133,1,0,"0-0.03","0-0.03",-7524.0798553439,1,1,1,1,0.85073889268196,"0.72-0.97","0.72-0.97",-7524.07985534833,0.00173319675249309,0.00201680630782243,0.390132610047036,0.159174769858018,0.0670913824677189,0.0176678316907645,0.0310242981446677,0.225989320230379,0.890807784725306,0.0905078873628,0.058857672115556,0.124111822483924
"PWY.6151..S.adenosyl.L.methionine.cycle.I","I",3571,0,100,"no.family.ID",0.148765233316142,NA,"0.02-0.28",-4577.41544301064,0.0304224085186961,1,0.005864265129683,1,0.0471566550132577,NA,"0-0.11",-4576.24580364718,0.125606213880196,1,0.0289172910662824,1,0,NA,NA,-4575.07281157536,0.999989678351632,1,1,1,0.8040781116706,NA,"0.68-0.93",-4575.07281157528,-0.00534302223283321,0.000893844025628103,2.26479730649096e-09,0.0543318857341804,0.0290381089834336,0.0613375213533213,-0.282692830865171,0.0990673847725344,0.00432349668608766,0.0883592118517436,0.0258053063679,0.0006169040726103
"PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II","II",3571,0,100,"no.family.ID",0.165238188967389,NA,"0.03-0.3",-4366.20116797713,0.0336651210853742,1,0.00294149855907781,0.715053602305475,0.0566099787212938,NA,"0-0.12",-4365.28309118283,0.101904751909314,1,0.013585878962536,1,1.18947965998356e-09,NA,NA,-4363.94535238417,1,1,0.334250144092219,1,0.778151831121838,NA,"0.65-0.91",-4363.945352392,-0.0042203686441557,0.000845089094724418,5.91436797338228e-07,0.0242453751409121,0.027304188667544,0.374555416574052,-0.170749521193396,0.0933949816533532,0.0675118056063353,0.107086904023436,0.0243302007955895,1.0755548674067e-05
"PWY.7446..sulfoglycolysis","sulfoglycolysis",3571,6442,21.51,"full.model",0.143934407660673,"0.01-0.28","0.01-0.28",-6598.46909255435,0.0344655144353432,1,0.00716023054755043,1,0.0687369527864158,"0.01-0.13","0.01-0.13",-6598.83855605657,0.0224523269099746,1,0.0046164265129683,1,0,"0-0.03","0-0.03",-6596.23336218369,1,1,1,1,0.787328639552911,"0.66-0.91","0.66-0.91",-6596.23336218534,0.0046742182649955,0.0015821984211106,0.00313424478218688,0.0918247537334463,0.0508603837492587,0.0710077549721108,-0.17180130341895,0.17451689226504,0.324899517363893,0.0320050697768946,0.0454641587693633,0.48145603265049
"PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis","biosynthesis",3571,0,100,"no.family.ID",0.166631859396679,NA,"0.03-0.3",-4531.05335639154,0.0377855430602938,1,0.00276224783861671,0.690561959654179,0.0699877528770402,NA,"0.01-0.13",-4530.85521603238,0.0477611875281512,1,0.00412334293948127,0.930377521613833,0,NA,NA,-4528.89603138812,1,1,1,1,0.763380387726281,NA,"0.63-0.9",-4528.89603138841,-0.00532323594517778,0.000887902267685466,2.03116492892299e-09,0.0135009034829073,0.0284962811565367,0.63565841490613,-0.0520637240572762,0.0978210684782816,0.594563756805514,0.05835337182733,0.0254858538566272,0.0220423276016261
"HEMESYN2.PWY..heme.biosynthesis.II..anaerobic.","anaerobic",3571,133,98.38,"full.model",0.158740400712263,"0.01-0.3","0.01-0.3",-6453.87251391414,0.0380284385969122,1,0.00390605187319885,0.917922190201729,0.028479085162807,"0-0.1","0-0.1",-6452.02843562808,0.432689628406457,1,0.100729971181556,1,0.0258726590803406,"0-0.07","0-0.07",-6452.32992987737,0.26963918352016,1,0.0280504322766571,1,0.786907855044589,"0.65-0.92","0.65-0.92",-6451.72063905252,-0.0120238520638312,0.00151325318493119,1.93101110222479e-15,0.198133725816924,0.0490404565803576,5.34034423085739e-05,-0.337976389019279,0.167585682786945,0.0437228781402592,0.258937028621398,0.0436603830723474,3.01629298233252e-09
"PWY66.422..D.galactose.degradation.V..Leloir.pathway.","pathway",3571,0,100,"full.model",0.162218278904944,"0.01-0.3","0.01-0.3",-4317.33601195937,0.0396845943333545,1,0.00336023054755043,0.809815561959654,0.0326204578311239,"0-0.09","0-0.09",-4315.76426180583,0.296955070533669,1,0.0784406340057637,1,0,"0-0.05","0-0.05",-4315.22035256915,0.999994105923431,1,1,1,0.805161263263932,"0.67-1.00","0.67-1.00",-4315.22035256913,-0.00253701271389026,0.000828631709072433,0.00220091884891421,-0.0794256155989894,0.0270987168736059,0.00337901823134895,-0.108218011722434,0.0920946425888945,0.239965147706655,-0.0149985023945612,0.0239880778841879,0.531808175020294
"P108.PWY..pyruvate.fermentation.to.propanoate.I","I",3571,1071,86.95,"full.model",0.158938265008263,"0.01-0.3","0.01-0.3",-7926.09488496099,0.0416198502945771,1,0.00387463976945245,0.914414985590778,0.0113922537989781,"0-0.07","0-0.07",-7924.07496101222,0.739293028798653,1,0.240348703170029,1,0.00609746547792526,"0-0.05","0-0.05",-7924.05415769329,0.79258963275629,1,0.197528818443804,1,0.823572015714834,"0.69-0.96","0.69-0.96",-7924.01958651784,0.00592669313944893,0.00226671198348479,0.00893149338539661,-0.205262797028326,0.0747348493684296,0.00602262051481324,0.456766817097285,0.252922711576691,0.0709255038600455,-0.322025840130591,0.0658767417629525,1.01706037854908e-06
"PWY.5177..glutaryl.CoA.degradation","degradation",3571,14,99.83,"no.family.ID",0.170651488140813,NA,"0.03-0.31",-5017.17941373854,0.0417510309876896,1,0.00230374639769452,0.585005187319885,0.0822385114923794,NA,"0.02-0.14",-5017.597672534,0.0256155227430786,1,0.00121239193083573,0.297036023054755,0,NA,NA,-5015.10677943966,0.999973684856783,1,1,1,0.747110000366808,NA,"0.6-0.89",-5015.10677943911,-0.00399735340295947,0.00102045086958775,8.95676784096265e-05,-0.0506876621126613,0.0325478122572726,0.119392319206199,-0.163415021641296,0.112093682295386,0.144883745224545,-0.0591653001131186,0.0292078505808983,0.0427991977550032
