Bacterial pathway	full_name	cate_name	class_name
PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG;Degradation;Pathways	amine and polyamine degradation
GLUDEG-I-PWY	GABA shunt	4-Aminobutyraye-Degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY6666-2	dopamine degradation	AMINE-DEG;Degradation;Pathways	amine and polyamine degradation
GLCMANNANAUT-PWY	"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	AMINE-DEG;Degradation;Pathways	amine and polyamine degradation
CRNFORCAT-PWY	creatinine degradation I	Creatinine-Degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY-3661	glycine betaine degradation I	Glycine-Betaine-Degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY-5028	L-histidine degradation II	L-histidine degradation II	amine and polyamine degradation
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	amine and polyamine degradation
PWY-6151	S-adenosyl-L-methionine cycle I	S-adenosyl-L-methionine-cycle;L-Methionine-Salvage;L-methionine Biosynthesis;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-6936	seleno-amino acid biosynthesis	Other-Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-724	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	Super-Pathways;Pathways	amino acids biosynthesis
PWY-3941	beta;-alanine biosynthesis II	Beta-Alanine-Biosynthesis;Other-Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	Methionine-De-novo-Biosynthesis;METHIONINE-SYN;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-821	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	Super-Pathways;Pathways	amino acids biosynthesis
PWY-7274	D-cycloserine biosynthesis	Other-Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	Super-Pathways;Pathways	amino acids biosynthesis
DAPLYSINESYN-PWY	L-lysine biosynthesis I	LYSINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY0-781	aspartate superpathway	Super-Pathways;Pathways	amino acids biosynthesis
P4-PWY	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
PWY-5097	L-lysine biosynthesis VI	LYSINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
CITRULBIO-PWY	L-citrulline biosynthesis	Citrulline-Biosynthesis;Other-Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-7270	L-methionine salvage cycle II (plants)	Methionine-Salvage;METHIONINE-SYN;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-7528	L-methionine salvage cycle I (bacteria and plants)	Methionine-Salvage;METHIONINE-SYN;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-7527	L-methionine salvage cycle III	Methionine-Salvage;METHIONINE-SYN;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
VALSYN-PWY	L-valine biosynthesis	VALINE-BIOSYNTHESIS;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	ISOLEUCINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
ARO-PWY	superpathway of aromatic amino acid biosynthesis	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
PWY-6628	superpathway of L-phenylalanine biosynthesis	PHENYLALANINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-5101	L-isoleucine biosynthesis II	ISOLEUCINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-3081	L-lysine biosynthesis V	LYSINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-4981	L-proline biosynthesis II (from arginine)	PROLINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	L-Ornithine-Biosynthesis;Other-Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-6549	L-glutamine biosynthesis III	GLUTAMINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-5505	L-glutamate and L-glutamine biosynthesis	GLUTAMATE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
HSERMETANA-PWY	L-methionine biosynthesis III	Methionine-De-novo-Biosynthesis;METHIONINE-SYN;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	Methionine-De-novo-Biosynthesis;METHIONINE-SYN;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	Methionine-De-novo-Biosynthesis;METHIONINE-SYN;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
METSYN-PWY	L-methionine biosynthesis I	Methionine-De-novo-Biosynthesis;METHIONINE-SYN;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-5103	L-isoleucine biosynthesis III	ISOLEUCINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
ARGORNPROST-PWY	"arginine, ornithine and proline interconversion"	Interconversion;Activation-Inactivation-Interconversion;Pathways	amino acids biosynthesis
THRESYN-PWY	superpathway of L-threonine biosynthesis	THREONINE-BIOSYNTHESIS;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-3001	superpathway of L-isoleucine biosynthesis I	ISOLEUCINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	ARGININE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	ARGININE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	ARGININE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
GLUTORN-PWY	L-ornithine biosynthesis I	L-Ornithine-Biosynthesis;Other-Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-6630	superpathway of L-tyrosine biosynthesis	TYROSINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV	LYSINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-6395	superpathway of seleno-compound metabolism	Other-Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-5104	L-isoleucine biosynthesis IV	ISOLEUCINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
HISTSYN-PWY	L-histidine biosynthesis	HISTIDINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-2942	L-lysine biosynthesis III	LYSINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-5004	superpathway of L-citrulline metabolism	Citrulline-Biosynthesis;Other-Amino Acids Biosynthesis;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY0-1061	superpathway of L-alanine biosynthesis	ALANINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-2941	L-lysine biosynthesis II	LYSINE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis;Biosynthesis;Pathways	amino acids biosynthesis
PRPP-PWY	"superpathway of histidine, purine, and pyrimidine biosynthesis"	Super-Pathways;Pathways	amino acids biosynthesis
TRPSYN-PWY	L-tryptophan biosynthesis	TRYPTOPHAN-BIOSYNTHESIS;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-6629	superpathway of L-tryptophan biosynthesis	TRYPTOPHAN-BIOSYNTHESIS;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	ARGININE-SYN;IND-AMINO-ACID-SYN;Amino Acids Biosynthesis;Biosynthesis	amino acids biosynthesis
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)	L-selenocysteine Biosynthesis	amino acids biosynthesis
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	Polyamine-Biosynthesis	amino acids biosynthesis
PWY-7546	diphthamide biosynthesis II (eukaryotes)	diphthamide biosynthesis II (eukaryotes)	amino acids biosynthesis
ILEUDEG-PWY	L-isoleucine degradation I	ISOLEUCINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
AST-PWY	L-arginine degradation II (AST pathway)	ARGININE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-5030	L-histidine degradation III	HISTIDINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)	ARGININE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
VALDEG-PWY	L-valine degradation I	VALINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	ARGININE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
ARGDEG-PWY	"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	ARGININE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-6309	"L-tryptophan degradation XI (mammalian, via kynurenine)"	TRYPTOPHAN-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-5081	L-tryptophan degradation VIII (to tryptophol)	TRYPTOPHAN-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
LEU-DEG2-PWY	L-leucine degradation I	LEUCINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
HISDEG-PWY	L-histidine degradation I	HISTIDINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-5088	L-glutamate degradation VIII (to propanoate)	GLUTAMATE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	GLUTAMATE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
TYRFUMCAT-PWY	L-tyrosine degradation I	TYROSINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
LYSINE-DEG1-PWY	L-lysine degradation XI (mammalian)	LYSINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-4321	L-glutamate degradation IV	GLUTAMATE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
P163-PWY	L-lysine fermentation to acetate and butanoate	LYSINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-5079	L-phenylalanine degradation III	PHENYLALANINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
THREOCAT-PWY	superpathway of L-threonine metabolism	THREONINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-6344	L-ornithine degradation II (Stickland reaction)	MISCELLANEOUS-DEG;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)	ARGININE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-5283	L-lysine degradation V	LYSINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	GLUTAMATE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-6318	"L-phenylalanine degradation IV (mammalian, via side chain)"	PHENYLALANINE-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
PWY-6307	"L-tryptophan degradation X (mammalian, via tryptamine)"	TRYPTOPHAN-DEG;Proteinogenic-Amino-Acids-Degradation;Amino Acids Degradation;Degradation/Utilization/Assimilation	amino acids degradation
TRNA-CHARGING-PWY	tRNA charging	Aminoacyl-tRNAs-Charging;Biosynthesis;Pathways	aminoacyl-trnas charging
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	Chorismate-Biosynthesis;Aromatic Compounds Biosynthesis;Biosynthesis	aromatic compounds biosynthesis
PWY-6165	chorismate biosynthesis II (archaea)	Chorismate-Biosynthesis;Aromatic Compounds Biosynthesis;Biosynthesis	aromatic compounds biosynthesis
PWY3O-1109	superpathway of 4-hydroxybenzoate biosynthesis (yeast)	4-Hydroxybenzoate-Biosynthesis;Aromatic Compounds Biosynthesis;Biosynthesis	aromatic compounds biosynthesis
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	4-Hydroxybenzoate-Biosynthesis;Aromatic Compounds Biosynthesis;Biosynthesis	aromatic compounds biosynthesis
PWY-6435	4-hydroxybenzoate biosynthesis V	4-Hydroxybenzoate-Biosynthesis;Aromatic Compounds Biosynthesis;Biosynthesis	aromatic compounds biosynthesis
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
GALLATE-DEGRADATION-I-PWY	gallate degradation II	GALLATE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
GALLATE-DEGRADATION-II-PWY	gallate degradation I	GALLATE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY5F9-12	biphenyl degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
PWY-5180	toluene degradation I (aerobic) (via o-cresol)	TOLUENE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	TOLUENE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5415	catechol degradation I (meta-cleavage pathway)	Catechol-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	Phenolic-Compounds-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	Phenolic-Compounds-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
P165-PWY	superpathway of purines degradation in plants	Urate-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
P3-PWY	gallate degradation III (anaerobic)	GALLATE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-6210	2-aminophenol degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
PWY-6185	4-methylcatechol degradation (ortho cleavage)	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
PWY-5266	p-cymene degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
PWY-5273	p-cumate degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
PWY0-321	phenylacetate degradation I (aerobic)	Phenylacetate-Degradation;Phenolic-Compounds-Degradation;Aromatic Compounds Degradation;Degradation/Utilization/Assimilation	aromatic compounds degradation
PWY-1361	benzoyl-CoA degradation I (aerobic)	Benzoyl-CoA-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-6215	4-chlorobenzoate degradation	"Chlorobenzoate-Degradation;ChloroAromatic Compounds Degradation;Aromatic Compounds Degradation,CHLORINATED-COMPOUNDS-DEG;Degradation/Utilization/Assimilation"	aromatic compounds degradation
PWY-5055	nicotinate degradation III	Nicotinate-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5183	superpathway of aerobic toluene degradation	TOLUENE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5430	meta cleavage pathway of aromatic compounds	Benzoate-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-621	2-aminophenol degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
PWY-5179	toluene degradation V (aerobic) (via toluene-cis-diol)	TOLUENE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	Protocatechuate-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5178	toluene degradation IV (aerobic) (via catechol)	TOLUENE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5420	catechol degradation II (meta-cleavage pathway)	Catechol-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	Catechol-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-1501	mandelate degradation I	MANDELATE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	TOLUENE-DEG;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5647	2-nitrobenzoate degradation I	2-Nirobenzoate-Degradation;Nitrobenzoate-Degradation;Nitroaromatic-Degradation;Aromatic Compounds Degradation;Degradation/Utilization/Assimilation	aromatic compounds degradation
PWY-7046	4-coumarate degradation (anaerobic)	Phenolic-Compounds-Degradation;Aromatic Compounds Degradation;Degradation	aromatic compounds degradation
PWY-5724	superpathway of atrazine degradation	Atrazine-Degradation;s-Triazine-Degradation;Aromatic Compounds Degradation;Degradation/Utilization/Assimilation	aromatic compounds degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation	Aromatic Compounds Degradation;Degradation;Pathways	aromatic compounds degradation
PWY-5431	aromatic compounds degradation via beta;-ketoadipate	Catechol-Degradation	aromatic compounds degradation
PWY-5417	catechol degradation III (ortho-cleavage pathway)	Catechol-Degradation	aromatic compounds degradation
PWY-6107	chlorosalicylate degradation	Chloroaromatic-Compounds-Degradation	aromatic compounds degradation
PWY-6518	glycocholate metabolism (bacteria)	Bile-Acids-Degradation;Degradation;Pathways	bile acids degradation
PWY-1622	formaldehyde assimilation I (serine pathway)	Formaldehyde-Assimilation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
CODH-PWY	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	Autotrophic-CO2-Fixation;CO2-Fixation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
RUMP-PWY	formaldehyde oxidation I	Formaldehyde-Oxidation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	Formaldehyde-Assimilation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
P42-PWY	incomplete reductive TCA cycle	Reductive-TCA-Cycles;Autotrophic-CO2-Fixation;CO2-Fixation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
PWY-5392	reductive TCA cycle II	Reductive-TCA-Cycles;Autotrophic-CO2-Fixation;CO2-Fixation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
P23-PWY	reductive TCA cycle I	Reductive-TCA-Cycles;Autotrophic-CO2-Fixation;CO2-Fixation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
PWY-5743	3-hydroxypropanoate cycle	Autotrophic-CO2-Fixation;CO2-Fixation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	Formaldehyde-Assimilation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
PWY-5789	3-hydroxypropanoate/4-hydroxybutanate cycle	Autotrophic-CO2-Fixation;CO2-Fixation;C1 Compounds Utilization and Assimilation;Degradation/Utilization/Assimilation	C1 compounds utilization and assimilation
PWY-7294	D-xylose degradation IV	Xylose Degradation	carbohydrate degradation
PWY-7644	heparin degradation	Glycosaminoglycan Degradation	carbohydrate degradation
COLANSYN-PWY	colanic acid building blocks biosynthesis	Carbohydrates Biosynthesis;Biosynthesis;Pathways	carbohydrates biosynthesis
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	UDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
GLYCOCAT-PWY	glycogen degradation I	CARBO-BIOSYNTHESIS;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	GLYCOGEN-BIOSYN;Polysaccharides-Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-822	fructan biosynthesis	Polysaccharides-Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7414	dTDP-alpha;-D-mycaminose biosynthesis	dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
