"Taxon_Shortname","LBL","CI_ID_low","CI_ID_high","Var.Exp","Var.Exp.NR"
"s__Ruminococcus_bromii","*",0.08,0.33,"Family",1.11e-10
"s__Dialister_invisus","*",0.08,0.34,"Family",1.05e-10
"s__Bacteroides_eggerthii","*",0.08,0.34,"Family",0.050120653
"s__Mitsuokella_multacida","*",0.07,0.35,"Family",0
"s__Bacteroides_uniformis","*",0.08,0.36,"Family",0
"s__Clostridium_citroniae","*",0.09,0.35,"Family",2.98e-09
"s__Bacteroides_coprocola","**",0.1,0.34,"Family",0
"s__Phascolarctobacterium_succinatutens","**",0.1,0.38,"Family",0.031027675
"s__Bifidobacterium_longum","**",0.11,0.38,"Family",0
"s__Parabacteroides_goldsteinii","**",0.12,0.4,"Family",0
"s__Akkermansia_muciniphila","**",0.17,0.43,"Family",0
"s__Oxalobacter_formigenes","*",0.04,0.29,"Environment",0.730735339
"s__Sutterella_wadsworthensis","*",0.06,0.3,"Environment",0.580542296
"s__Parabacteroides_merdae","*",0.04,0.3,"Environment",0.623420579
"s__Bacteroides_finegoldii","*",0.03,0.3,"Environment",0.489932042
"s__Bacteroides_massiliensis","*",0.04,0.3,"Environment",0.504072381
"s__Flavonifractor_plautii","*",0.02,0.32,"Environment",0.736608018
"s__Lachnospiraceae_bacterium_8_1_57FAA","*",0,0.32,"Environment",0.794259247
"s__Bacteroides_coprophilus","*",0.03,0.33,"Environment",0.58990813
"s__Bacteroides_faecis","*",0.05,0.33,"Environment",0.53357436
"s__Ruminococcus_bromii","*",0.08,0.33,"Environment",0.777027035
"s__Dialister_invisus","*",0.08,0.34,"Environment",0.655447987
"s__Bacteroides_eggerthii","*",0.08,0.34,"Environment",0.481799041
"s__Mitsuokella_multacida","*",0.07,0.35,"Environment",0.469076979
"s__Bacteroides_uniformis","*",0.08,0.36,"Environment",0.726895258
"s__Clostridium_citroniae","*",0.09,0.35,"Environment",0.750518928
"s__Bacteroides_coprocola","**",0.1,0.34,"Environment",0.502267796
"s__Phascolarctobacterium_succinatutens","**",0.1,0.38,"Environment",0.480566697
"s__Bifidobacterium_longum","**",0.11,0.38,"Environment",0.681542825
"s__Parabacteroides_goldsteinii","**",0.12,0.4,"Environment",0.481652997
"s__Akkermansia_muciniphila","**",0.17,0.43,"Environment",0.673017682
